word,depth,g1,s11,s12,s13,s14,s15,g2,s21,s22,s23,s24,s25,g3,s31,s32,s33,s34,s35,g4,s41,s42,s43,s44,s45,g5,s51,s52,s53,s54,s55,g6,s61,s62,s63,s64,s65,g7,s71,s72,s73,s74,s75
SARKY,2,LARKS,0,2,2,2,1,SARKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKER,2,LARKS,2,2,1,1,0,LAKER,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEREL,2,LARKS,1,0,2,1,0,KEREL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARKY,2,LARKS,2,2,2,2,0,LARKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIRAS,2,LARKS,2,1,2,0,2,LIRAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANKE,2,LARKS,0,2,1,2,0,RANKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKRAS,3,LARKS,0,1,2,1,2,KORAS,1.0,1.0,2.0,2.0,2.0,OKRAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORAS,2,LARKS,0,1,2,1,2,KORAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALKY,3,LARKS,1,2,0,2,0,TIRES,2.0,0.0,0.0,0.0,0.0,TALKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
PALKI,3,LARKS,1,2,0,2,0,TIRES,0.0,1.0,0.0,0.0,0.0,PALKI,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BALKY,3,LARKS,1,2,0,2,0,TIRES,0.0,0.0,0.0,0.0,0.0,BALKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKSA,2,LARKS,2,2,0,1,1,LAKSA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLERK,3,LARKS,1,0,1,1,0,NARES,0.0,0.0,1.0,1.0,0.0,CLERK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KNURL,3,LARKS,1,0,1,1,0,NARES,1.0,0.0,1.0,0.0,0.0,KNURL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KRILL,3,LARKS,1,0,1,1,0,NARES,0.0,0.0,1.0,0.0,0.0,KRILL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SKIRL,2,LARKS,1,0,1,1,1,SKIRL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIRKS,2,LARKS,2,0,2,2,2,LIRKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LURKS,3,LARKS,2,0,2,2,2,LIRKS,2.0,0.0,2.0,2.0,2.0,LURKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LARKS,1,LARKS,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISKY,2,LARKS,0,0,1,2,1,RISKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINKY,3,LARKS,2,0,0,2,0,RONES,0.0,0.0,2.0,0.0,0.0,LINKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOOKY,3,LARKS,2,0,0,2,0,RONES,0.0,2.0,0.0,0.0,0.0,LOOKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY,3,LARKS,2,0,0,2,0,RONES,0.0,0.0,0.0,0.0,0.0,LUCKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKHS,3,LARKS,2,2,0,1,2,LAKES,2.0,2.0,2.0,0.0,2.0,LAKHS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKES,2,LARKS,2,2,0,1,2,LAKES,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAILS,2,LARKS,1,2,1,0,2,RAILS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALES,3,LARKS,1,2,1,0,2,RAILS,2.0,2.0,0.0,1.0,2.0,RALES,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEASE,3,LARKS,2,1,0,0,1,HEATS,0.0,2.0,2.0,0.0,1.0,LEASE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOTSA,3,LARKS,2,1,0,0,1,HEATS,0.0,0.0,1.0,1.0,1.0,LOTSA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOAST,3,LARKS,2,1,0,0,1,HEATS,0.0,0.0,2.0,1.0,1.0,LOAST,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEASH,3,LARKS,2,1,0,0,1,HEATS,1.0,2.0,2.0,0.0,1.0,LEASH,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LYSSA,3,LARKS,2,1,0,0,1,HEATS,0.0,0.0,1.0,0.0,1.0,LYSSA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEAST,3,LARKS,2,1,0,0,1,HEATS,0.0,2.0,2.0,1.0,1.0,LEAST,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LYASE,3,LARKS,2,1,0,0,1,HEATS,0.0,1.0,2.0,0.0,1.0,LYASE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KALES,3,LARKS,1,2,0,1,2,RALES,0.0,2.0,2.0,2.0,2.0,KALES,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KAILS,3,LARKS,1,2,0,1,2,RALES,0.0,2.0,1.0,0.0,2.0,KAILS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KALIS,3,LARKS,1,2,0,1,2,RALES,0.0,2.0,2.0,0.0,2.0,KALIS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LIKER,2,LARKS,2,0,1,1,0,LIKER,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKRAN,2,LARKS,0,1,2,1,1,SKRAN,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRAK,3,LARKS,0,1,2,1,1,SKRAN,2.0,1.0,2.0,2.0,0.0,STRAK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEARS,2,LARKS,2,1,1,0,2,LEARS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIARS,3,LARKS,2,1,1,0,2,LEARS,2.0,0.0,2.0,2.0,2.0,LIARS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
TALKS,3,LARKS,1,2,0,2,2,BOWET,0.0,0.0,0.0,0.0,1.0,TALKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BALKS,3,LARKS,1,2,0,2,2,BOWET,2.0,0.0,0.0,0.0,0.0,BALKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
CALKS,3,LARKS,1,2,0,2,2,BOWET,0.0,0.0,0.0,0.0,0.0,CALKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
WALKS,3,LARKS,1,2,0,2,2,BOWET,0.0,0.0,1.0,0.0,0.0,WALKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KURUS,3,LARKS,0,0,2,1,2,BOEUF,0.0,0.0,0.0,2.0,0.0,KURUS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KERFS,3,LARKS,0,0,2,1,2,BOEUF,0.0,0.0,1.0,0.0,1.0,KERFS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KIRNS,3,LARKS,0,0,2,1,2,BOEUF,0.0,0.0,0.0,0.0,0.0,KIRNS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORUS,3,LARKS,0,0,2,1,2,BOEUF,0.0,2.0,0.0,2.0,0.0,KORUS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KERNS,3,LARKS,0,0,2,1,2,BOEUF,0.0,0.0,1.0,0.0,0.0,KERNS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KURIS,3,LARKS,0,0,2,1,2,BOEUF,0.0,0.0,0.0,1.0,0.0,KURIS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KEROS,3,LARKS,0,0,2,1,2,BOEUF,0.0,1.0,1.0,0.0,0.0,KEROS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KERBS,3,LARKS,0,0,2,1,2,BOEUF,1.0,0.0,1.0,0.0,0.0,KERBS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORES,3,LARKS,0,0,2,1,2,BOEUF,0.0,2.0,1.0,0.0,0.0,KORES,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KOROS,3,LARKS,0,0,2,1,2,BOEUF,0.0,2.0,0.0,0.0,0.0,KOROS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KARTS,3,LARKS,0,2,2,1,2,TONES,1.0,0.0,0.0,0.0,2.0,KARTS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KARAS,3,LARKS,0,2,2,1,2,TONES,0.0,0.0,0.0,0.0,2.0,KARAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KARNS,3,LARKS,0,2,2,1,2,TONES,0.0,0.0,1.0,0.0,2.0,KARNS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KAROS,3,LARKS,0,2,2,1,2,TONES,0.0,1.0,0.0,0.0,2.0,KAROS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEERS,3,LARKS,2,0,1,0,2,HIRES,0.0,0.0,1.0,1.0,2.0,LEERS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEHRS,3,LARKS,2,0,1,0,2,HIRES,1.0,0.0,1.0,1.0,2.0,LEHRS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEIRS,3,LARKS,2,0,1,0,2,HIRES,0.0,1.0,1.0,1.0,2.0,LEIRS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOURS,3,LARKS,2,0,1,0,2,HIRES,0.0,0.0,1.0,0.0,2.0,LOURS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LIERS,3,LARKS,2,0,1,0,2,HIRES,0.0,2.0,1.0,1.0,2.0,LIERS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOIRS,3,LARKS,2,0,1,0,2,HIRES,0.0,1.0,1.0,0.0,2.0,LOIRS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEAKY,2,LARKS,2,1,0,2,0,LEAKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURTA,3,LARKS,0,1,2,1,0,IOTAS,0.0,0.0,1.0,1.0,0.0,KURTA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORAT,3,LARKS,0,1,2,1,0,IOTAS,0.0,2.0,1.0,2.0,0.0,KORAT,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KERMA,3,LARKS,0,1,2,1,0,IOTAS,0.0,0.0,0.0,1.0,0.0,KERMA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORMA,3,LARKS,0,1,2,1,0,IOTAS,0.0,2.0,0.0,1.0,0.0,KORMA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BORAK,3,LARKS,0,1,2,1,0,IOTAS,0.0,2.0,0.0,2.0,0.0,BORAK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORAI,3,LARKS,0,1,2,1,0,IOTAS,1.0,2.0,0.0,2.0,0.0,KORAI,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
FLAKS,2,LARKS,1,1,0,2,2,FLAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUSER,3,LARKS,2,0,1,0,1,LOSER,2.0,0.0,2.0,2.0,2.0,LUSER,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,2,LARKS,2,0,1,0,1,LOSER,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALUK,3,LARKS,1,2,0,1,0,PULAS,0.0,1.0,2.0,1.0,0.0,TALUK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KALAM,3,LARKS,1,2,0,1,0,PULAS,0.0,0.0,2.0,2.0,0.0,KALAM,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
TALAK,4,LARKS,1,2,0,1,0,PULAS,0.0,0.0,2.0,2.0,0.0,KALAM,1.0,2.0,2.0,2.0,0.0,TALAK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
KAVAL,4,LARKS,1,2,0,1,0,PULAS,0.0,0.0,1.0,2.0,0.0,HATES,0.0,2.0,0.0,0.0,0.0,KAVAL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
KAHAL,4,LARKS,1,2,0,1,0,PULAS,0.0,0.0,1.0,2.0,0.0,HATES,1.0,2.0,0.0,0.0,0.0,KAHAL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
KATAL,4,LARKS,1,2,0,1,0,PULAS,0.0,0.0,1.0,2.0,0.0,HATES,0.0,2.0,2.0,0.0,0.0,KATAL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
KALPA,3,LARKS,1,2,0,1,0,PULAS,1.0,0.0,2.0,1.0,0.0,KALPA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KALIF,3,LARKS,1,2,0,1,0,PULAS,0.0,0.0,2.0,1.0,0.0,KALIF,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
MALIK,4,LARKS,1,2,0,1,0,PULAS,0.0,0.0,2.0,1.0,0.0,KALIF,1.0,2.0,2.0,2.0,0.0,MALIK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
VAKIL,4,LARKS,1,2,0,1,0,PULAS,0.0,0.0,1.0,1.0,0.0,KAYLE,1.0,2.0,0.0,1.0,0.0,VAKIL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
KAYLE,3,LARKS,1,2,0,1,0,PULAS,0.0,0.0,1.0,1.0,0.0,KAYLE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
CAULK,4,LARKS,1,2,0,1,0,PULAS,0.0,1.0,1.0,1.0,0.0,BICES,0.0,0.0,1.0,0.0,0.0,CAULK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
WAULK,4,LARKS,1,2,0,1,0,PULAS,0.0,1.0,1.0,1.0,0.0,BICES,0.0,0.0,0.0,0.0,0.0,WAULK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
BAULK,4,LARKS,1,2,0,1,0,PULAS,0.0,1.0,1.0,1.0,0.0,BICES,2.0,0.0,0.0,0.0,0.0,BAULK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
SOREL,2,LARKS,1,0,2,0,1,SOREL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURLY,3,LARKS,1,0,2,0,1,SOREL,2.0,0.0,2.0,0.0,1.0,SURLY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SLAKE,2,LARKS,1,1,0,2,1,SLAKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAS,3,LARKS,1,1,0,1,2,ROLES,0.0,2.0,2.0,0.0,2.0,KOLAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KLAPS,3,LARKS,1,1,0,1,2,ROLES,0.0,0.0,1.0,0.0,2.0,KLAPS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ALKOS,3,LARKS,1,1,0,1,2,ROLES,0.0,1.0,1.0,0.0,2.0,ALKOS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KULAS,3,LARKS,1,1,0,1,2,ROLES,0.0,0.0,2.0,0.0,2.0,KULAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SPAKE,3,LARKS,0,1,0,2,1,HOTEN,0.0,0.0,0.0,1.0,0.0,SPAKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SHAKO,3,LARKS,0,1,0,2,1,HOTEN,1.0,1.0,0.0,0.0,0.0,SHAKO,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SITKA,3,LARKS,0,1,0,2,1,HOTEN,0.0,0.0,2.0,0.0,0.0,SITKA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SNAKE,3,LARKS,0,1,0,2,1,HOTEN,0.0,0.0,0.0,1.0,1.0,SNAKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SHAKT,3,LARKS,0,1,0,2,1,HOTEN,1.0,0.0,1.0,0.0,0.0,SHAKT,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SNAKY,3,LARKS,0,1,0,2,1,HOTEN,0.0,0.0,0.0,0.0,1.0,SNAKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SHAKE,3,LARKS,0,1,0,2,1,HOTEN,1.0,0.0,0.0,1.0,0.0,SHAKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
STAKE,3,LARKS,0,1,0,2,1,HOTEN,0.0,0.0,1.0,1.0,0.0,STAKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SHAKY,3,LARKS,0,1,0,2,1,HOTEN,1.0,0.0,0.0,0.0,0.0,SHAKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKED,2,LARKS,2,2,0,1,0,LAKED,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKIN,3,LARKS,2,2,0,1,0,LAKED,2.0,2.0,2.0,0.0,0.0,LAKIN,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BURKA,2,LARKS,0,1,2,2,0,BURKA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERKA,3,LARKS,0,1,2,2,0,BURKA,0.0,0.0,2.0,2.0,2.0,NERKA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BOAKS,3,LARKS,0,1,0,2,2,BOTHY,2.0,2.0,0.0,0.0,0.0,BOAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
DHAKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,0.0,0.0,1.0,0.0,DHAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BEAKS,3,LARKS,0,1,0,2,2,BOTHY,2.0,0.0,0.0,0.0,0.0,BEAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
PEAKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,0.0,0.0,0.0,0.0,PEAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
TEAKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,0.0,1.0,0.0,0.0,TEAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KYAKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,0.0,0.0,0.0,1.0,KYAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SOAKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,2.0,0.0,0.0,0.0,SOAKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ATOKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,1.0,1.0,0.0,0.0,ATOKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
AMOKS,3,LARKS,0,1,0,2,2,BOTHY,0.0,1.0,0.0,0.0,0.0,AMOKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KRAAL,3,LARKS,1,1,1,1,0,KNARL,2.0,0.0,2.0,1.0,2.0,KRAAL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KNARL,2,LARKS,1,1,1,1,0,KNARL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURKS,4,LARKS,0,0,2,2,2,BONEY,2.0,0.0,0.0,0.0,0.0,BIRKS,2.0,0.0,2.0,2.0,2.0,BURKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
BIRKS,3,LARKS,0,0,2,2,2,BONEY,2.0,0.0,0.0,0.0,0.0,BIRKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
YERKS,3,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,1.0,1.0,YERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BORKS,3,LARKS,0,0,2,2,2,BONEY,2.0,2.0,0.0,0.0,0.0,BORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
YIRKS,3,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,0.0,1.0,YIRKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
YORKS,3,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,1.0,YORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
NERKS,3,LARKS,0,0,2,2,2,BONEY,0.0,0.0,1.0,1.0,0.0,NERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BERKS,3,LARKS,0,0,2,2,2,BONEY,2.0,0.0,0.0,1.0,0.0,BERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
NORKS,3,LARKS,0,0,2,2,2,BONEY,0.0,2.0,1.0,0.0,0.0,NORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
PORKS,4,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,0.0,CAPED,0.0,0.0,1.0,0.0,0.0,PORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
CORKS,4,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,0.0,CAPED,2.0,0.0,0.0,0.0,0.0,CORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
HORKS,5,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,0.0,CAPED,0.0,0.0,0.0,0.0,0.0,HOWES,2.0,2.0,0.0,0.0,2.0,HORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
FORKS,5,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,0.0,CAPED,0.0,0.0,0.0,0.0,0.0,HOWES,0.0,2.0,0.0,0.0,2.0,FORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
WORKS,5,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,0.0,CAPED,0.0,0.0,0.0,0.0,0.0,HOWES,0.0,2.0,1.0,0.0,2.0,WORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
DORKS,4,LARKS,0,0,2,2,2,BONEY,0.0,2.0,0.0,0.0,0.0,CAPED,0.0,0.0,0.0,0.0,1.0,DORKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
MERKS,4,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,1.0,0.0,SAMPI,1.0,0.0,1.0,0.0,0.0,MERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
SERKS,4,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,1.0,0.0,SAMPI,2.0,0.0,0.0,0.0,0.0,SERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
PERKS,4,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,1.0,0.0,SAMPI,1.0,0.0,0.0,1.0,0.0,PERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
ZERKS,5,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,1.0,0.0,SAMPI,1.0,0.0,0.0,0.0,0.0,JERKS,0.0,2.0,2.0,2.0,2.0,ZERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
JERKS,4,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,1.0,0.0,SAMPI,1.0,0.0,0.0,0.0,0.0,JERKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
MIRKS,4,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,0.0,0.0,FUMED,0.0,0.0,1.0,0.0,0.0,MIRKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
FIRKS,4,LARKS,0,0,2,2,2,BONEY,0.0,0.0,0.0,0.0,0.0,FUMED,2.0,0.0,0.0,0.0,0.0,FIRKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
